	MAIN_TAREADOR	horizontal_border	vertical_border	fill_py	compute_py	
THREAD 1.1.147	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.148	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.149	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.150	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.151	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.152	0.00	2313000.00	0.00	0.00	0.00	
THREAD 1.1.153	0.00	0.00	2313000.00	0.00	0.00	
THREAD 1.1.154	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.155	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.156	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.157	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.158	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.159	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.160	0.00	0.00	0.00	240000.00	0.00	
THREAD 1.1.161	0.00	0.00	0.00	240000.00	0.00	

Total	1924000.00	125658000.00	115917000.00	15360000.00	446772000.00	
Average	1924000.00	7853625.00	7244812.50	240000.00	6980812.50	
Maximum	1924000.00	41265000.00	46341000.00	240000.00	34296000.00	
Minimum	1924000.00	2313000.00	2313000.00	240000.00	1056000.00	
StDev	0.00	11238426.44	11431756.09	0.00	10294128.32	
Avg/Max	1.00	0.19	0.16	1.00	0.20	

